reserva_id,usuario_id,destino_id,fecha_reserva,estado,precio_total
1,17,3,2025-03-05,Confirmada,95000
2,3,7,2025-03-06,Pagada,120000
3,21,1,2025-03-07,Pendiente,87000
4,6,4,2025-03-08,Confirmada,110000
5,14,2,2025-03-09,Confirmada,155000
6,42,1,2025-03-10,Pendiente,91000
7,9,3,2025-03-11,Confirmada,120000
8,29,5,2025-03-12,Pagada,112000
9,11,49,2025-03-13,Confirmada,157000
10,7,4,2025-03-14,Confirmada,108000
11,33,1,2025-03-15,Pagada,91000
12,25,55,2025-03-16,Pendiente,107000
13,18,2,2025-03-17,Confirmada,149000
14,46,4,2025-03-18,Confirmada,109000
15,2,3,2025-03-19,Pagada,120000
16,8,1,2025-03-20,Pendiente,90000
17,50,4,2025-03-21,Confirmada,103000
18,15,3,2025-03-22,Confirmada,114000
19,36,2,2025-03-23,Pendiente,153000
20,1,5,2025-03-24,Confirmada,110000
21,40,89,2025-03-25,Confirmada,100000
22,22,4,2025-03-26,Pagada,102000
23,38,2,2025-03-27,Confirmada,150000
24,31,91,2025-03-28,Pendiente,97000
25,12,4,2025-03-29,Confirmada,106000
26,44,3,2025-03-30,Cancelada,118000
27,30,2,2025-03-31,Pendiente,150000
28,19,1,2025-04-01,Confirmada,94000
29,27,3,2025-04-02,Confirmada,108000
30,5,4,2025-04-03,Pagada,120000
31,32,2,2025-04-04,Pendiente,150000
32,4,1,2025-04-05,Confirmada,98000
33,41,3,2025-04-06,Confirmada,151000
34,37,4,2025-04-07,Pendiente,109000
35,10,1,2025-04-08,Pagada,92000
36,23,2,2025-04-09,Confirmada,90000
37,48,3,2025-04-10,Confirmada,110000
38,16,4,2025-04-11,Pendiente,153000
39,34,2,2025-04-12,Confirmada,111000
40,13,1,2025-04-13,Pendiente,98000
41,45,3,2025-04-14,Confirmada,95000
42,20,4,2025-04-15,Pendiente,149000
43,35,1,2025-04-16,Confirmada,88000
44,26,3,2025-04-17,Confirmada,108000
45,28,2,2025-04-18,Pendiente,152000
46,39,4,2025-04-19,Pagada,101000
47,24,3,2025-04-20,Confirmada,108000
48,49,1,2025-04-21,Confirmada,91000
49,43,2,2025-04-22,Confirmada,150000
50,6,3,2025-04-23,Cancelada,108000
51,3,1,2025-04-24,Pagada,87000
52,12,4,2025-04-25,Pendiente,94000
53,18,2,2025-04-26,Confirmada,149000
54,5,3,2025-04-27,Confirmada,120000
55,7,4,2025-04-28,Pendiente,108000
56,20,1,2025-04-29,Confirmada,100000
57,15,3,2025-04-30,Confirmada,114000
58,41,2,2025-05-01,Pendiente,151000
59,2,4,2025-05-02,Confirmada,87000
60,36,3,2025-05-03,Pendiente,153000
61,9,1,2025-05-04,Confirmada,95000
62,44,3,2025-05-05,Cancelada,118000
63,11,2,2025-05-06,Confirmada,157000
64,32,4,2025-05-07,Confirmada,150000
65,50,3,2025-05-08,Pagada,103000
66,27,1,2025-05-09,Pendiente,155000
67,1,4,2025-05-10,Confirmada,110000
68,23,3,2025-05-11,Confirmada,102000
69,40,2,2025-05-12,Pendiente,100000
70,16,1,2025-05-13,Confirmada,140000
71,34,3,2025-05-14,Pendiente,111000
72,22,4,2025-05-15,Confirmada,102000
73,29,2,2025-05-16,Pendiente,155000
74,8,3,2025-05-17,Confirmada,120000
75,48,1,2025-05-18,Confirmada,103000
76,13,4,2025-05-19,Pendiente,98000
77,38,3,2025-05-20,Confirmada,150000
78,31,2,2025-05-21,Pendiente,150000
79,21,3,2025-05-22,Confirmada,100000
80,45,1,2025-05-23,Confirmada,95000
81,17,4,2025-05-24,Pendiente,95000
82,25,3,2025-05-25,Confirmada,107000
83,6,2,2025-05-26,Pendiente,89000
84,42,3,2025-05-27,Confirmada,91000
85,19,1,2025-05-28,Pendiente,91000
86,50,70,2025-05-29,Pagada,103000
87,36,3,2025-05-30,Confirmada,108000
88,3,2,2025-05-31,Pendiente,120000
89,11,1,2025-06-01,Confirmada,157000
90,7,3,2025-06-02,Pagada,108000
91,30,4,2025-06-03,Confirmada,106000
92,2,80,2025-06-04,Pendiente,87000
93,14,3,2025-06-05,Confirmada,155000
94,26,1,2025-06-06,Confirmada,94000
95,39,4,2025-06-07,Pagada,101000
96,8,3,2025-06-08,Confirmada,120000
97,44,2,2025-06-09,Pendiente,109000
98,24,3,2025-06-10,Confirmada,108000
99,35,1,2025-06-11,Confirmada,88000
100,12,62,2025-06-12,Pendiente,94000
